日期,收盘,开盘,高,低,交易量,涨跌幅
2021-01-04,3502.96,3474.68,3511.66,3457.21,38080000000.0,0.0086
2021-01-05,3528.68,3492.19,3528.68,3484.72,40800000000.0,0.0073
2021-01-06,3550.88,3530.91,3556.8,3513.13,37020000000.0,0.0063
2021-01-07,3576.2,3552.91,3576.2,3526.62,40530000000.0,0.0070999999999999995
2021-01-08,3570.11,3577.69,3588.06,3544.89,34560000000.0,-0.0017000000000000001
2021-01-11,3531.5,3571.32,3597.7,3516.99,36250000000.0,-0.0108
2021-01-12,3608.34,3518.01,3608.34,3517.47,32340000000.000004,0.0218
2021-01-13,3598.65,3613.28,3622.35,3575.59,38810000000.0,-0.0027
2021-01-14,3565.9,3584.93,3599.06,3559.6,34770000000.0,-0.0091
2021-01-15,3566.38,3566.28,3589.27,3533.79,32460000000.0,0.0001
2021-01-18,3596.22,3554.8,3608.77,3544.26,30170000000.0,0.0084
2021-01-19,3566.38,3596.36,3603.15,3553.02,32340000000.000004,-0.0083
2021-01-20,3583.09,3564.12,3589.96,3556.44,27230000000.0,0.004699999999999999
2021-01-21,3621.26,3590.92,3636.24,3585.8,32750000000.0,0.010700000000000001
2021-01-22,3606.75,3616.54,3616.54,3585.03,32450000000.000004,-0.004
2021-01-25,3624.24,3605.36,3637.1,3591.02,32729999999.999996,0.0048
2021-01-26,3569.43,3610.97,3610.97,3564.74,27810000000.0,-0.0151
2021-01-27,3573.34,3567.55,3578.8,3546.49,26410000000.0,0.0011
2021-01-28,3505.18,3534.67,3549.54,3496.88,27090000000.0,-0.0191
2021-01-29,3483.07,3521.72,3531.6,3446.55,29370000000.0,-0.0063
2021-02-01,3505.28,3477.17,3506.39,3469.88,27760000000.0,0.0064
2021-02-02,3533.68,3510.81,3535.5,3495.57,26450000000.0,0.008100000000000001
2021-02-03,3517.31,3531.15,3544.01,3508.51,29740000000.0,-0.0046
2021-02-04,3501.86,3503.78,3524.72,3465.77,29880000000.0,-0.0044
2021-02-05,3496.33,3509.49,3536.54,3492.96,29010000000.0,-0.0016
2021-02-08,3532.45,3504.56,3542.21,3492.13,24980000000.0,0.0103
2021-02-09,3603.49,3539.77,3604.01,3528.68,25380000000.0,0.020099999999999996
2021-02-10,3655.09,3612.61,3662.77,3612.5,25790000000.0,0.0143
2021-02-18,3675.36,3721.09,3731.69,3663.66,34030000000.0,0.0055000000000000005
2021-02-19,3696.17,3661.78,3699.65,3634.01,36110000000.0,0.005699999999999999
2021-02-22,3642.44,3707.19,3717.27,3642.44,48880000000.0,-0.014499999999999999
2021-02-23,3636.36,3617.7,3672.15,3617.7,39890000000.0,-0.0017000000000000001
2021-02-24,3564.08,3638.94,3645.65,3531.59,36220000000.0,-0.0199
2021-02-25,3585.05,3595.54,3608.56,3568.47,36620000000.0,0.0059
2021-02-26,3509.08,3514.56,3550.41,3500.7,33330000000.0,-0.0212
2021-03-01,3551.4,3531.48,3552.57,3511.99,31550000000.0,0.0121
2021-03-02,3508.59,3566.85,3566.85,3485.36,33979999999.999996,-0.0121
2021-03-03,3576.9,3500.16,3577.62,3498.72,34770000000.0,0.0195
2021-03-04,3503.49,3546.64,3552.2,3487.38,39360000000.0,-0.020499999999999997
2021-03-05,3501.99,3463.31,3523.57,3456.67,35640000000.0,-0.0004
2021-03-08,3421.41,3524.98,3542.3,3421.22,38700000000.0,-0.023
2021-03-09,3359.29,3415.34,3429.15,3328.31,40770000000.0,-0.0182
2021-03-10,3357.74,3389.84,3397.03,3354.82,29970000000.0,-0.0005
2021-03-11,3436.83,3369.9,3436.83,3369.9,32210000000.0,0.0236
2021-03-12,3453.08,3447.2,3454.51,3417.24,35800000000.0,0.004699999999999999
2021-03-15,3419.95,3441.88,3457.49,3392.51,36780000000.0,-0.0096
2021-03-16,3446.73,3424.65,3448.88,3406.17,31670000000.0,0.0078000000000000005
2021-03-17,3445.55,3435.73,3454.06,3410.28,28010000000.0,-0.0003
2021-03-18,3463.07,3449.64,3478.14,3449.38,28440000000.0,0.0051
2021-03-19,3404.66,3423.87,3439.52,3389.29,30920000000.0,-0.0169
2021-03-22,3443.44,3406.12,3443.66,3404.23,31260000000.0,0.011399999999999999
2021-03-23,3411.51,3445.34,3445.42,3390.05,32640000000.0,-0.009300000000000001
2021-03-24,3367.06,3394.13,3415.29,3362.18,31740000000.0,-0.013000000000000001
2021-03-25,3363.59,3355.07,3382.23,3344.97,27070000000.0,-0.001
2021-03-26,3418.33,3373.32,3423.22,3373.32,27460000000.0,0.0163
2021-03-29,3435.3,3429.63,3449.83,3409.89,28480000000.0,0.005
2021-03-30,3456.68,3432.53,3457.63,3423.32,28540000000.0,0.0062
2021-03-31,3441.91,3452.21,3452.21,3420.83,28300000000.0,-0.0043
