日期,前一天涨幅,cum_return_5d,cum_return_20d,rsi_14,close_above_ma5,close_above_ma20,close_above_ma60,plus_di_14,minus_di_14,adx_14,bb_upper_20_2,bb_middle_20_2,bb_lower_20_2,is_above_bb_upper,is_below_bb_lower,atr_14,ma_volume_5,volume_up_strong,volume_down_strong,obv,consecutive_up_days,consecutive_down_days,consecutive_up_2d,consecutive_down_2d,consecutive_up_3d,consecutive_down_3d,consecutive_up_4d,consecutive_down_4d,consecutive_up_5d,consecutive_down_5d,consecutive_up_6d,consecutive_down_6d,consecutive_up_7d,consecutive_down_7d,price_slope_5d,ma20_slope_5d,price_ma20_slope_ratio,prev_close_above_ma5
2006/7/3,-0.65,0.019329508,0.005546751,64.28336215,1,1,0,0,0,0,1596.272168,1555.0645,1513.856832,0,0,24.64894361,717398000,0,0,22721110000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.016,-1.4555,-4.13328753,1
2006/7/5,0.7,0.017648985,-0.013609328,54.52392774,0,0,0,0,0,0,1594.073928,1553.9925,1513.911072,0,0,26.11841779,685918000,0,0,22081670000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.39,-1.227,-4.392828036,1
2006/7/6,-2.04,0.008646189,-0.008733597,45.13797931,0,0,0,0,0,0,1593.049049,1553.309,1513.568951,0,0,24.99329542,670894000,0,0,21427170000,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2.66,-0.9504,-2.798821549,0
2006/7/7,-0.15,-0.03270138,-0.01782844,43.64001572,0,0,0,0,0,0,1592.385293,1551.917,1511.448707,0,0,24.8195227,624918000,0,1,20687910000,0,3,0,1,0,1,0,0,0,0,0,0,0,0,-10.37,-0.9187,11.28768913,0
2006/7/10,-1.15,-0.034490201,-0.019387867,43.84871885,0,0,0,0,0,0,1593.198003,1550.4135,1507.628997,0,0,25.46358634,601630000,0,1,19994720000,0,4,0,1,0,1,0,1,0,0,0,0,0,0,-10.866,-0.8427,12.89426842,0
2006/7/11,-0.84,-0.033531915,0.008386448,46.81366408,0,0,0,0,0,0,1592.299248,1551.051,1509.802752,0,0,25.54310816,738310000,0,1,20959880000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.638,-0.8027,13.25277189,0
2006/7/12,0.8,-0.033778436,-0.010146026,35.33479782,0,0,0,0,0,0,1594.67081,1550.2815,1505.89219,0,1,26.57602707,787412000,1,0,20074930000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-10.498,-0.7422,14.14443546,0
2006/7/13,-2.06,-0.047301086,-0.034046502,34.73705259,0,0,0,0,0,0,1602.013424,1547.6765,1493.339576,0,1,26.81922346,845202000,0,1,19131480000,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-14.678,-1.1265,13.02973813,0
2006/7/14,-1.55,-0.046645063,-0.070504997,33.07692308,0,0,0,0,0,0,1607.141693,1542.131,1477.120307,0,1,26.43399367,855452000,0,0,18340970000,0,3,0,1,0,1,0,0,0,0,0,0,0,0,-14.308,-1.9572,7.310443491,0
2006/7/17,-1.08,-0.034453284,-0.060364465,33.38387476,0,0,0,0,0,0,1609.412558,1537.414,1465.415442,0,0,24.95079451,848716000,0,0,19000480000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.48,-2.5999,4.030924266,0
2006/7/18,0.43,-0.03960706,-0.049453174,38.53991949,0,0,0,0,0,0,1610.950404,1533.584,1456.217596,0,0,25.76135524,832234000,1,0,19883230000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-12.144,-3.4934,3.476269537,0
2006/7/19,0.26,-0.00723296,-0.037279115,40.29492036,1,0,0,0,0,0,1610.031151,1530.698,1451.364849,0,0,26.46250788,893244000,1,0,21073230000,3,0,1,0,1,0,0,0,0,0,0,0,0,0,-2.172,-3.9167,0.554548472,0
2006/7/20,1.24,-0.007624344,-0.067788963,23.25927261,0,0,0,0,0,0,1606.877421,1525.3645,1443.851579,0,0,27.05017349,916554000,1,0,20013230000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.254,-4.4624,0.505109358,1
2006/7/21,-1.59,-0.007037485,-0.066008787,22.77883215,0,0,0,0,0,0,1606.789037,1520.234,1433.678963,0,0,25.66348369,1008452000,0,1,18763230000,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-2.058,-4.3794,0.469927387,0
2006/7/24,-1.02,0.009424583,-0.044299023,28.8809398,1,0,0,0,0,0,1603.657375,1516.7985,1429.939625,0,0,26.3030192,1067348000,0,0,19717220000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.768,-4.1231,-0.671339526,0
2006/7/25,2.1,0.0116685,-0.042829511,35.41581783,1,0,0,0,0,0,1599.069855,1513.466,1427.862145,0,0,25.33194997,1060666000,0,0,20566560000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3.436,-4.0236,-0.853961626,1
