日期,收盘,开盘,高,低,交易量,涨跌幅
2000-01-03,3790.55,3755.74,3836.86,3643.25,754210000.0,0.0223
2000-01-04,3546.2,3766.57,3766.57,3542.73,754210000.0,-0.0645
2000-01-05,3507.31,3543.13,3576.17,3371.75,754210000.0,-0.011000000000000001
2000-01-06,3340.81,3488.31,3513.55,3334.02,754210000.0,-0.0475
2000-01-07,3529.6,3337.26,3529.75,3314.75,754210000.0,0.0565
2000-01-10,3717.41,3558.21,3756.17,3558.21,754210000.0,0.053200000000000004
2000-01-11,3544.35,3715.22,3717.17,3517.79,754210000.0,-0.0466
2000-01-12,3478.14,3548.77,3572.62,3447.9,754210000.0,-0.0187
2000-01-13,3612.08,3495.83,3612.43,3494.39,754210000.0,0.0385
2000-01-14,3704.74,3653.3,3744.89,3653.3,754210000.0,0.025699999999999997
2000-01-18,3757.78,3704.74,3779.56,3665.87,754210000.0,0.0143
2000-01-19,3790.89,3741.45,3803.72,3711.96,754210000.0,0.0088
2000-01-20,3841.74,3798.84,3877.43,3782.43,754210000.0,0.0134
2000-01-21,3849.96,3841.74,3891.81,3806.58,754210000.0,0.0021
2000-01-24,3660.96,3888.33,3905.1,3660.86,754210000.0,-0.049100000000000005
2000-01-25,3759.11,3667.02,3759.33,3591.34,754210000.0,0.0268
2000-01-26,3621.21,3762.69,3762.69,3621.1,754210000.0,-0.036699999999999997
2000-01-27,3593.15,3628.88,3701.3,3512.07,754210000.0,-0.0077
2000-01-28,3446.13,3595.89,3617.6,3409.59,754210000.0,-0.0409
2000-01-31,3570.05,3438.09,3570.59,3349.06,754210000.0,0.036000000000000004
2000-02-01,3701.78,3580.29,3703.59,3544.93,754210000.0,0.0369
2000-02-02,3724.46,3700.2,3785.36,3693.95,754210000.0,0.0060999999999999995
2000-02-03,3851.16,3726.13,3857.34,3704.23,754210000.0,0.034
2000-02-04,3874.37,3858.6,3929.81,3856.83,754210000.0,0.006
2000-02-07,3933.34,3873.43,3933.75,3858.89,754210000.0,0.0152
2000-02-08,4062.77,3932.24,4063.79,3932.24,754210000.0,0.0329
2000-02-09,3968.46,4061.74,4087.84,3966.33,754210000.0,-0.0232
2000-02-10,4090.0,3974.83,4090.07,3956.9,754210000.0,0.030600000000000002
2000-02-11,3968.89,4090.0,4090.0,3933.78,754210000.0,-0.0296
2000-02-14,3986.13,3969.95,4005.59,3918.87,754210000.0,0.0043
2000-02-15,3997.03,3983.85,4024.13,3848.37,754210000.0,0.0027
2000-02-16,3997.97,3997.03,4063.58,3982.55,754210000.0,0.0002
2000-02-17,4125.38,4012.29,4127.35,3993.57,754210000.0,0.0319
2000-02-18,3965.75,4130.55,4135.6,3959.83,754210000.0,-0.0387
2000-02-22,3969.13,3970.53,4001.07,3856.02,754210000.0,0.0009
2000-02-23,4170.09,3966.0,4198.16,3966.0,754210000.0,0.0506
2000-02-24,4253.05,4169.66,4253.75,4099.39,754210000.0,0.0199
2000-02-25,4178.58,4254.56,4297.46,4169.34,754210000.0,-0.0175
2000-02-28,4162.13,4178.58,4224.95,4024.08,754210000.0,-0.0039000000000000003
2000-02-29,4266.94,4174.75,4269.76,4174.75,754210000.0,0.0252
2000-03-01,4309.01,4275.72,4346.41,4269.66,754210000.0,0.009899999999999999
2000-03-02,4234.26,4311.97,4337.65,4197.98,754210000.0,-0.0173
2000-03-03,4442.87,4257.53,4442.87,4257.53,754210000.0,0.0493
2000-03-06,4457.18,4448.48,4548.55,4436.6,754210000.0,0.0032
2000-03-07,4390.83,4489.49,4560.96,4355.61,754210000.0,-0.0149
2000-03-08,4445.68,4409.98,4470.28,4266.87,754210000.0,0.0125
2000-03-09,4586.26,4446.48,4587.55,4379.6,754210000.0,0.0316
2000-03-10,4587.16,4586.26,4659.72,4549.07,754210000.0,0.0002
2000-03-13,4426.8,4585.16,4585.16,4387.74,754210000.0,-0.035
2000-03-14,4226.99,4448.63,4537.99,4226.79,754210000.0,-0.0451
2000-03-15,4130.01,4250.74,4341.54,4094.04,754210000.0,-0.0229
2000-03-16,4353.33,4141.23,4353.59,4049.98,754210000.0,0.0541
2000-03-17,4440.45,4349.26,4441.0,4326.76,754210000.0,0.02
2000-03-20,4261.15,4443.35,4460.37,4260.92,754210000.0,-0.0404
2000-03-21,4449.33,4259.58,4450.41,4155.34,754210000.0,0.044199999999999996
2000-03-22,4596.81,4449.22,4639.12,4449.22,754210000.0,0.0331
2000-03-23,4660.62,4594.37,4704.21,4547.0,754210000.0,0.0139
2000-03-24,4691.61,4659.76,4816.35,4608.92,754210000.0,0.0066
2000-03-27,4704.73,4687.6,4781.19,4687.6,754210000.0,0.0028000000000000004
2000-03-28,4583.39,4705.75,4714.35,4582.45,754210000.0,-0.0258
