日期,收盘,开盘,高,低,交易量,涨跌幅
2021/1/4,12694.67,12950.22,12950.22,12537.42,242640000,-0.015
2021/1/5,12802.38,12663.13,12809.67,12663.13,175190000,0.0085
2021/1/6,12623.35,12601.26,12803.29,12569.42,243870000,-0.014
2021/1/7,12939.57,12745.41,12966.68,12744.82,215740000,0.0251
2021/1/8,13105.2,13037.24,13113.09,12939.73,220390000,0.0128
2021/1/11,12902.49,12961.5,13023.22,12883.59,196990000,-0.0155
2021/1/12,12892.09,12916.1,12957.43,12783.71,184510000,-0.0008
2021/1/13,12973.63,12911.87,13008.84,12878.02,207310000,0.0063
2021/1/14,12898.69,13010.94,13037.05,12886.16,198570000,-0.0058
2021/1/15,12803.93,12898.09,12941.29,12758.1,244670000,-0.0073
2021/1/19,12996.54,12921.61,13012.09,12861.3,208170000,0.015
2021/1/20,13296.45,13155.11,13332.26,13138.31,209510000,0.0231
2021/1/21,13404.99,13356.7,13433.69,13297.79,195490000,0.0082
2021/1/22,13366.4,13356.18,13404.77,13336.9,185530000,-0.0029
2021/1/25,13483.29,13515.63,13563.7,13205.59,221640000,0.0087
2021/1/26,13490.19,13507.47,13536.3,13440.32,183910000,0.0005
2021/1/27,13112.65,13371.16,13393.51,13034.14,332770000,-0.028
2021/1/28,13201.53,13163.32,13401.85,13150.1,259130000,0.0068
2021/1/29,12925.38,13124.7,13167.87,12845.43,285520000,-0.0209
2021/2/1,13248.9,13067.65,13280.22,12983.1,199890000,0.025
2021/2/2,13456.12,13371.36,13501.23,13363.75,191130000,0.0156
2021/2/3,13402.37,13555.03,13561.45,13400.08,181610000,-0.004
2021/2/4,13560.89,13454.85,13563.13,13406.44,195080000,0.0118
2021/2/5,13603.96,13592.77,13642.96,13527.81,172270000,0.0032
2021/2/8,13695.02,13672.33,13698.41,13607.96,181110000,0.0067
2021/2/9,13687.08,13667.14,13741.79,13664.7,151600000,-0.0006
2021/2/10,13655.27,13751.42,13770.91,13531.93,175910000,-0.0023
2021/2/11,13734.35,13723.63,13747.2,13637.19,156640000,0.0058
2021/2/12,13807.7,13695.9,13816.25,13656.78,137790000,0.0053
2021/2/16,13773.77,13841.03,13879.77,13726.77,168060000,-0.0025
2021/2/17,13699.71,13636.15,13713.14,13552.67,163370000,-0.0054
2021/2/18,13637.51,13556.01,13669.94,13477.17,169460000,-0.0045
2021/2/19,13580.78,13686.23,13701.69,13545.45,193940000,-0.0042
2021/2/22,13223.74,13414.04,13447.37,13220.77,215670000,-0.0263
2021/2/23,13194.71,12982.36,13259.85,12758.12,261290000,-0.0022
2021/2/24,13302.19,13095.86,13312.42,12971.82,214770000,0.0081
2021/2/25,12828.31,13197.75,13294.56,12773.76,260930000,-0.0356
2021/2/26,12909.44,12958.97,13090.36,12764.34,312550000,0.0063
2021/3/1,13282.95,13106.02,13293.78,13051.7,207570000,0.0289
2021/3/2,13059.95,13297.76,13301.62,13052.12,195310000,-0.0168
2021/3/3,12683.33,13020.1,13057.29,12679.89,230650000,-0.0288
2021/3/4,12464,12655.92,12799.08,12314.16,307810000,-0.0173
2021/3/5,12668.51,12594.16,12700.95,12208.39,302020000,0.0164
2021/3/8,12299.08,12629.56,12718.58,12287.57,273330000,-0.0292
2021/3/9,12794.49,12635.45,12868.52,12592.83,252070000,0.0403
2021/3/10,12752.07,12950.25,12979.38,12726.85,214220000,-0.0033
2021/3/11,13052.9,12960.53,13117.86,12920,211630000,0.0236
2021/3/12,12937.29,12873.39,12943.58,12778.12,184560000,-0.0089
2021/3/15,13082.54,12936.13,13085.01,12885.64,180210000,0.0112
2021/3/16,13152.28,13156.65,13297.48,13091.78,186930000,0.0053
2021/3/17,13202.38,13024.83,13280.29,12950.08,220850000,0.0038
2021/3/18,12789.14,13006.29,13040.36,12781.53,226020000,-0.0313
2021/3/19,12866.99,12792.67,12906.02,12704.07,575600000,0.0061
2021/3/22,13086.51,12943.14,13167.46,12943.14,209330000,0.0171
2021/3/23,13017.79,13127.17,13180.66,12993.5,203450000,-0.0053
2021/3/24,12798.88,13072.82,13077.49,12797.84,208060000,-0.0168
2021/3/25,12780.51,12707.58,12845.66,12627.92,216990000,-0.0014
2021/3/26,12979.12,12777.27,12992.3,12721.66,253000000,0.0155
2021/3/29,12965.74,12950.51,13013.48,12836.6,199250000,-0.001
2021/3/30,12896.53,12904.01,12929.46,12798.03,172810000,-0.0053
2021/3/31,13091.44,12970.33,13167.06,12966.65,247920000,0.0151
2021/4/1,13329.51,13268.88,13333.41,13255.82,187350000,0.0182
2021/4/5,13598.16,13434.04,13623.6,13420.81,178500000,0.0202
2021/4/6,13578.46,13567.2,13660.29,13551.6,163840000,-0.0014
2021/4/7,13616.7,13553.9,13648.8,13532.63,144110000,0.0028
2021/4/8,13758.5,13730.73,13763.18,13703.51,163890000,0.0104
2021/4/9,13845.06,13709.67,13849.31,13674.92,160650000,0.0063
2021/4/12,13819.35,13792.74,13839.39,13747.63,178220000,-0.0019
2021/4/13,13986.49,13874.58,14002.53,13874.58,164970000,0.0121
2021/4/14,13803.91,13988.86,13990.54,13782.17,161340000,-0.0131
2021/4/15,14026.19,13934.87,14040.11,13931.01,177920000,0.0161
2021/4/16,14041.91,14035.96,14050.38,13966.54,194730000,0.0011
2021/4/19,13907.67,13970.83,14025.64,13835.75,177420000,-0.0096
2021/4/20,13809.3,13891.96,13934.89,13730.59,161460000,-0.0071
2021/4/21,13935.15,13768.92,13939.7,13717.44,166850000,0.0091
2021/4/22,13762.36,13920.88,13954.03,13716.76,172740000,-0.0124
