日期,收盘,开盘,高,低,交易量,涨跌幅
2025/7/21,"23,180.06","23,124.97","23,264.45","23,122.93",266.40M,0.50%
2025/7/18,"23,065.47","23,135.09","23,153.21","23,018.36",343.25M,-0.07%
2025/7/17,"23,081.05","22,931.02","23,104.72","22,905.51",363.47M,0.76%
2025/7/16,"22,907.97","22,895.30","22,928.55","22,669.37",346.48M,0.10%
2025/7/15,"22,884.59","23,036.86","23,051.87","22,876.47",342.19M,0.13%
2025/7/14,"22,855.63","22,780.19","22,886.94","22,675.28",305.71M,0.33%
2025/7/11,"22,780.60","22,757.99","22,837.38","22,692.80",312.17M,-0.21%
2025/7/10,"22,829.26","22,890.43","22,907.04","22,716.41",308.86M,-0.16%
2025/7/9,"22,864.91","22,800.36","22,915.33","22,733.65",311.04M,0.72%
2025/7/8,"22,702.25","22,735.26","22,761.80","22,652.44",346.75M,0.07%
2025/7/7,"22,685.57","22,754.38","22,776.21","22,587.47",327.00M,-0.79%
2025/7/3,"22,866.97","22,751.64","22,896.01","22,736.08",225.78M,0.99%
2025/7/2,"22,641.89","22,451.81","22,644.72","22,448.07",346.49M,0.73%
2025/7/1,"22,478.13","22,594.48","22,631.26","22,388.09",385.56M,-0.89%
2025/6/30,"22,679.01","22,632.92","22,721.50","22,565.11",410.27M,0.64%
2025/6/27,"22,534.20","22,484.87","22,603.22","22,382.79",643.79M,0.39%
2025/6/26,"22,447.29","22,328.24","22,466.99","22,255.27",343.21M,0.94%
2025/6/25,"22,237.74","22,279.69","22,329.23","22,175.08",344.08M,0.21%
2025/6/24,"22,190.52","22,053.33","22,220.64","22,045.63",404.98M,1.53%
2025/6/23,"21,856.33","21,632.78","21,871.87","21,532.32",373.66M,1.06%
2025/6/20,"21,626.39","21,834.49","21,902.98","21,552.80",836.91M,-0.43%
2025/6/18,"21,719.69","21,745.50","21,863.00","21,660.52",331.25M,0.00%
2025/6/17,"21,719.08","21,858.89","21,896.42","21,680.18",305.16M,-1.00%
2025/6/16,"21,937.57","21,783.08","21,979.77","21,783.08",340.31M,1.42%
2025/6/13,"21,631.04","21,675.94","21,838.47","21,591.11",317.46M,-1.29%
2025/6/12,"21,913.32","21,826.79","21,952.00","21,807.00",269.00M,0.24%
2025/6/11,"21,860.80","21,994.16","22,041.83","21,775.27",314.42M,-0.37%
2025/6/10,"21,941.92","21,819.79","21,961.42","21,727.34",345.37M,0.66%
2025/6/9,"21,797.87","21,779.18","21,855.15","21,729.30",360.44M,0.17%
2025/6/6,"21,761.79","21,777.50","21,836.57","21,696.69",308.79M,0.99%
2025/6/5,"21,547.43","21,782.34","21,891.89","21,472.77",410.26M,-0.80%
2025/6/4,"21,721.92","21,689.02","21,761.37","21,607.33",293.97M,0.27%
2025/6/3,"21,662.58","21,529.98","21,715.96","21,474.51",322.98M,0.79%
2025/6/2,"21,491.75","21,270.57","21,500.36","21,199.37",288.63M,0.71%
2025/5/30,"21,340.99","21,330.85","21,386.29","21,032.56",641.72M,-0.11%
2025/5/29,"21,363.95","21,611.54","21,611.54","21,260.72",334.25M,0.21%
2025/5/28,"21,318.17","21,451.69","21,508.08","21,296.51",310.10M,-0.45%
2025/5/27,"21,414.99","21,201.45","21,429.32","21,145.13",370.89M,2.39%
2025/5/23,"20,915.65","20,806.37","21,025.58","20,777.97",309.12M,-0.93%
2025/5/22,"21,112.47","21,097.46","21,263.18","21,046.22",305.54M,0.15%
